Row Labels,Min of Effective_Start_Date__c,Max of Effective_End_Date__c,Max of Effective_Start_Date__c,Current State,placeholder
0013a00001bpfYVAAY,4/30/2018,,4/30/2018,Evergreen,0
0013a00001bpgBKAAY,12/12/2017,,12/12/2017,Evergreen,0
0013a00001bpgg8AAA,7/3/2019,11/13/2019,7/3/2019,Evergreen,0
0013a00001bpghVAAQ,7/19/2017,,2/18/2021,Evergreen,0
0013a00001bpginAAA,7/22/2019,7/21/2022,2/12/2021,Renewable,1
0013a00001bpgLjAAI,11/30/2018,10/29/2019,11/30/2018,Evergreen,0
0013a00001bpglNAAQ,7/22/2019,6/21/2020,6/22/2020,Renewable,1
0013a00001bpgMSAAY,6/6/2016,2/5/2024,2/6/2022,Evergreen,0
0013a00001bpgtCAAQ,7/8/2015,,3/4/2021,Evergreen,0
0013a00001bpgtlAAA,7/4/2019,9/3/2023,12/16/2021,Renewable,1
0013a00001bpgXuAAI,7/10/2019,,7/10/2019,Evergreen,0
0013a00001bpgZMAAY,7/3/2019,,7/3/2019,Evergreen,0
0013a00001bphebAAA,8/4/2017,,3/17/2021,Evergreen,0
0013a00001bpheqAAA,3/12/2020,3/11/2020,3/12/2020,Renewable,1
0013a00001bphRCAAY,7/18/2019,,7/18/2019,Evergreen,0
0013a00001bphX5AAI,1/26/2018,,1/26/2018,Evergreen,0
0013a00001bpjSVAAY,2/26/2018,5/21/2020,2/26/2018,Evergreen,0
0013a00001bppHiAAI,7/4/2019,7/4/2022,7/4/2019,Renewable,1
0013a00001bppKcAAI,9/9/2019,1/8/2024,1/9/2021,Renewable,1
0013a00001bpxGLAAY,4/13/2018,1/13/2022,3/18/2021,Evergreen,0
0013a00001bpxH9AAI,6/8/2018,,6/8/2018,Evergreen,0
0013a00001bpxHEAAY,6/29/2017,,6/29/2017,Evergreen,0
0013a00001bpxLfAAI,2/2/2016,,2/2/2016,Evergreen,0
0013a00001bpxMjAAI,7/23/2018,,7/23/2018,Evergreen,0
0013a00001bpxOzAAI,11/5/2018,,11/5/2018,Evergreen,0
0013a00001bpxpyAAA,3/14/2017,12/31/2022,1/15/2020,Renewable,1
0013a00001bpxX9AAI,7/12/2019,9/2/2021,9/3/2021,Renewable,1
0013a00001bpxXxAAI,12/14/2016,4/13/2022,12/18/2020,Renewable,1
0013a00001bpxYqAAI,2/5/2019,1/2/2020,2/5/2019,Evergreen,0
0013a00001bpyclAAA,5/5/2017,,3/2/2021,Evergreen,0
0013a00001bpyehAAA,6/23/2016,3/4/2023,3/5/2022,Renewable,1
0013a00001bpyg4AAA,10/17/2016,,10/17/2016,Evergreen,0
0013a00001bpyY5AAI,7/9/2018,,7/9/2018,Evergreen,0
0013a00001bpzFIAAY,8/8/2018,11/19/2019,8/8/2018,Evergreen,0
0013a00001bpzFNAAY,7/8/2019,6/9/2020,7/8/2019,Evergreen,0
0013a00001bpzICAAY,1/29/2018,12/26/2023,12/27/2020,Renewable,1
0013a00001bpzIHAAY,2/6/2019,,2/6/2019,Evergreen,0
0013a00001bpzJFAAY,6/8/2018,,6/8/2018,Evergreen,0
0013a00001bpzk2AAA,3/28/2017,2/27/2021,2/28/2021,Evergreen,0
0013a00001bpzKSAAY,9/13/2017,8/12/2024,8/13/2021,Renewable,1
0013a00001bpzL1AAI,2/26/2018,,2/26/2018,Evergreen,0
0013a00001bpzO6AAI,9/21/2016,,9/21/2016,Evergreen,0
0013a00001bpzOBAAY,9/6/2016,,9/6/2016,Evergreen,0
0013a00001bpzOuAAI,10/8/2018,10/7/2024,10/8/2021,Renewable,1
0013a00001bq0P0AAI,2/14/2019,2/14/2020,2/14/2019,Renewable,1
0013a00001bq1uEAAQ,9/20/2019,9/20/2022,9/20/2019,Renewable,1
0013a00001bq3BnAAI,9/28/2016,8/4/2022,8/5/2021,Renewable,1
0013a00001bq3FFAAY,1/22/2020,1/21/2024,12/25/2021,Renewable,1
0013a00001bq3FjAAI,4/8/2016,4/7/2025,4/8/2022,Renewable,1
0013a00001bq3J2AAI,6/28/2017,7/27/2024,7/28/2021,Renewable,1
0013a00001bq4XoAAI,5/13/2016,,3/1/2021,Evergreen,0
0013a00001bq56UAAQ,2/8/2018,9/22/2022,9/23/2019,Renewable,1
0013a00001bq5AqAAI,1/9/2019,,1/9/2019,Evergreen,0
0013a00001bq5jrAAA,7/9/2019,,7/9/2019,Evergreen,0
0013a00001bq5NuAAI,2/22/2018,,2/22/2018,Evergreen,0
0013a00001bq6BCAAY,4/27/2016,,4/27/2016,Evergreen,0
0013a00001bq6reAAA,6/2/2017,,6/2/2017,Evergreen,0
0013a00001bq7GBAAY,7/8/2019,12/9/2020,7/8/2019,Evergreen,0
0013a00001bq7uBAAQ,6/23/2017,,6/23/2017,Evergreen,0
0013a00001bq8P0AAI,1/30/2017,8/27/2022,11/11/2019,Renewable,1
0013a00001bq8PTAAY,1/8/2018,7/8/2023,12/10/2021,Renewable,1
0013a00001bq95tAAA,7/7/2017,,7/7/2017,Evergreen,0
0013a00001bq9n9AAA,10/4/2016,,10/4/2016,Evergreen,0
0013a00001bq9waAAA,6/13/2018,,6/13/2018,Evergreen,0
0013a00001bq9wfAAA,7/8/2019,7/8/2022,7/8/2019,Renewable,1
0013a00001bq9wzAAA,2/7/2018,,12/23/2020,Evergreen,0
0013a00001bq9yMAAQ,6/8/2015,,6/8/2015,Evergreen,0
0013a00001bq9zoAAA,3/3/2019,,3/3/2019,Evergreen,0
0013a00001bqA11AAE,7/18/2019,8/17/2024,1/19/2022,Renewable,1
0013a00001bqa2iAAA,4/24/2016,7/6/2021,7/7/2021,Evergreen,0
0013a00001bqa5SAAQ,7/30/2018,10/27/2022,11/28/2020,Evergreen,0
0013a00001bqA5SAAU,9/3/2017,,9/3/2017,Evergreen,0
0013a00001bqa6aAAA,4/8/2015,7/31/2023,10/29/2021,Renewable,1
0013a00001bqa6kAAA,11/13/2018,,2/19/2021,Evergreen,0
0013a00001bqa7dAAA,4/14/2016,,3/8/2021,Evergreen,0
0013a00001bqAiXAAU,7/17/2019,7/17/2022,7/17/2019,Renewable,1
0013a00001bqAkxAAE,3/16/2018,10/15/2021,3/16/2018,Evergreen,0
0013a00001bqAOMAA2,5/11/2016,,5/11/2016,Evergreen,0
0013a00001bqapIAAQ,3/13/2018,,3/13/2018,Evergreen,0
0013a00001bqarTAAQ,12/12/2016,,12/12/2016,Evergreen,0
