Row Labels,Min of Effective_Start_Date__c,Max of Effective_End_Date__c,Max of Effective_Start_Date__c,Current State,placeholder
0013a00001nlJt6AAE,3/24/2021,3/23/2024,3/24/2021,Renewable,1
0013a00001nlmgAAAQ,3/1/2021,5/31/2024,7/16/2021,Renewable,1
0013a00001nlYQnAAM,3/31/2021,3/30/2022,3/31/2021,Renewable,1
0013a00001nm1SnAAI,4/1/2021,6/30/2024,4/7/2021,Renewable,1
0013a00001nm65MAAQ,4/26/2021,6/26/2023,11/23/2021,Renewable,1
0013a00001nmB0nAAE,3/19/2021,3/18/2024,3/19/2021,Renewable,1
0013a00001nmBe4AAE,4/29/2021,4/28/2024,4/29/2021,Renewable,1
0013a00001nmCXPAA2,5/21/2021,5/20/2024,5/21/2021,Renewable,1
0013a00001Zxec3AAB,4/1/2019,9/30/2021,10/1/2021,Renewable,1
0013a00001ZxfEWAAZ,3/29/2019,3/29/2022,3/29/2019,Renewable,1
0013a00001ZxfvlAAB,3/20/2019,7/19/2022,5/19/2021,Renewable,1
0013a00001ZxgwwAAB,5/16/2019,3/20/2022,3/21/2021,Renewable,1
0013a00001ZxhPtAAJ,5/16/2019,3/20/2020,5/16/2019,Renewable,1
0013a00001ZxhZjAAJ,3/21/2019,3/20/2020,3/21/2019,Renewable,1
0013a00001ZxjFAAAZ,12/31/2020,12/30/2023,12/31/2020,Renewable,1
0013a00001ZxjOxAAJ,3/22/2019,9/15/2022,9/16/2021,Renewable,1
0013a00001ZxjzsAAB,3/28/2017,11/26/2022,11/27/2019,Renewable,1
0013a00001ZxkrhAAB,7/9/2019,7/8/2022,1/11/2021,Renewable,1
0013a00001ZxlEOAAZ,8/7/2018,,8/7/2018,Evergreen,0
0013a00001ZxlFCAAZ,7/6/2018,10/5/2023,1/17/2022,Renewable,1
0013a00001ZxlgDAAR,2/15/2021,2/14/2024,2/15/2021,Renewable,1
0013a00001ZxliDAAR,5/15/2021,5/14/2024,5/15/2021,Renewable,1
0013a00001ZxljVAAR,4/10/2018,,4/10/2018,Evergreen,0
0013a00001ZxlKbAAJ,11/11/2020,4/30/2024,5/1/2021,Renewable,1
0013a00001ZxlTOAAZ,6/13/2018,9/13/2022,6/13/2018,Renewable,1
0013a00001ZxmjKAAR,7/3/2020,7/2/2023,10/7/2020,Renewable,1
0013a00001ZxmquAAB,7/27/2017,6/26/2024,10/22/2021,Renewable,1
0013a00001ZxmRLAAZ,1/31/2017,,3/12/2021,Evergreen,0
0013a00001ZxmSJAAZ,7/1/2016,,7/1/2016,Evergreen,0
0013a00001ZxmUeAAJ,2/19/2018,,2/19/2018,Evergreen,0
0013a00001ZxmZ5AAJ,6/7/2017,,6/7/2017,Evergreen,0
0013a00001ZxmzhAAB,3/27/2019,3/26/2022,12/20/2021,Renewable,1
0013a00001ZxnI7AAJ,7/1/2021,6/30/2024,7/1/2021,Renewable,1
0013a00001Zxo8TAAR,11/18/2016,12/31/2023,11/23/2021,Renewable,1
0013a00001ZxoLtAAJ,4/13/2017,,4/13/2017,Evergreen,0
0013a00001Zxom1AAB,5/4/2018,,5/4/2018,Evergreen,0
0013a00001ZxotlAAB,7/1/2020,6/30/2022,7/1/2020,Renewable,1
0013a00001Zxq1KAAR,8/24/2017,2/16/2025,2/17/2022,Renewable,1
0013a00001Zxq4YAAR,11/28/2018,,11/28/2018,Evergreen,0
0013a00001Zxq6pAAB,10/28/2016,6/30/2024,7/1/2021,Renewable,1
0013a00001ZxqOMAAZ,1/20/2017,,1/20/2017,Evergreen,0
0013a00001ZxqPeAAJ,11/26/2019,11/25/2022,11/26/2019,Renewable,1
0013a00001ZxqQ3AAJ,10/16/2018,10/14/2024,10/15/2021,Renewable,1
0013a00001ZxqQrAAJ,4/10/2019,4/9/2023,8/20/2021,Renewable,1
0013a00001ZxqRaAAJ,10/16/2018,10/15/2021,10/16/2018,Renewable,1
0013a00001ZxqV8AAJ,11/18/2019,11/17/2022,4/1/2021,Renewable,1
0013a00001ZxrQ9AAJ,4/4/2019,9/16/2024,9/17/2021,Renewable,1
0013a00001ZxrVYAAZ,9/14/2021,9/13/2024,9/14/2021,Renewable,1
0013a00001ZxrWRAAZ,11/25/2019,11/24/2022,11/25/2019,Renewable,1
0013a00001ZxrZ6AAJ,11/29/2017,5/30/2024,9/17/2021,Renewable,1
0013a00001Zxs4kAAB,10/3/2018,10/2/2024,10/3/2021,Renewable,1
0013a00001Zxs7FAAR,1/23/2018,,1/23/2018,Evergreen,0
0013a00001Zxs8cAAB,12/4/2017,,3/15/2021,Evergreen,0
0013a00001ZxsFEAAZ,6/7/2017,8/6/2023,8/7/2020,Renewable,1
0013a00001Zxt3SAAR,1/31/2018,6/22/2023,6/23/2020,Evergreen,0
0013a00001Zxt4uAAB,3/8/2021,3/7/2024,7/7/2021,Renewable,1
0013a00001Zxt6bAAB,2/10/2017,,2/10/2017,Evergreen,0
0013a00001Zxt7FAAR,3/6/2017,8/5/2020,3/6/2017,Evergreen,0
0013a00001ZxtdrAAB,11/15/2017,,11/15/2017,Evergreen,0
0013a00001Zxth5AAB,10/2/2018,,10/2/2018,Evergreen,0
0013a00001ZxtiDAAR,10/9/2018,8/31/2024,9/1/2021,Renewable,1
0013a00001ZxtirAAB,3/26/2019,,3/26/2019,Evergreen,0
0013a00001ZxtjQAAR,12/17/2018,,12/17/2018,Evergreen,0
0013a00001ZxtmPAAR,4/4/2019,,4/4/2019,Evergreen,0
0013a00001ZxtuvAAB,2/20/2019,2/19/2024,2/20/2021,Renewable,1
0013a00001ZxtvjAAB,2/21/2019,8/20/2024,8/21/2021,Renewable,1
0013a00001ZxtxLAAR,1/24/2019,3/23/2020,1/24/2019,Evergreen,0
0013a00001ZxtyTAAR,1/16/2019,6/22/2021,6/23/2021,Renewable,1
0013a00001Zxtz2AAB,1/7/2019,12/3/2022,12/4/2019,Renewable,1
0013a00001ZxuhnAAB,11/1/2020,10/31/2023,1/1/2021,Renewable,1
0013a00001ZxuqVAAR,11/3/2016,10/2/2024,10/4/2021,Renewable,1
0013a00001ZxurxAAB,1/21/2020,7/20/2023,7/21/2020,Renewable,1
0013a00001ZxusvAAB,10/31/2016,,10/31/2016,Evergreen,0
0013a00001ZxvskAAB,4/16/2019,8/9/2024,8/10/2021,Renewable,1
0013a00001ZxxMzAAJ,10/2/2020,4/10/2022,10/2/2020,Renewable,1
0013a00001Zxz67AAB,4/13/2018,8/12/2023,8/13/2021,Evergreen,0
0013a00001Zy1PDAAZ,1/24/2022,1/23/2023,1/24/2022,Renewable,1
0013a00001Zy1vkAAB,10/10/2018,7/31/2022,9/30/2021,Renewable,1
0013a00001Zy41dAAB,3/30/2017,10/24/2022,10/25/2019,Renewable,1
0013a00001Zy4mfAAB,3/3/2020,7/5/2022,3/3/2020,Renewable,1
0013a00001Zy7t7AAB,5/1/2019,4/30/2020,5/1/2019,Renewable,1
0013a00001Zy7wfAAB,6/3/2019,9/2/2021,9/3/2019,Renewable,1
0013a00001Zy8NdAAJ,5/2/2019,4/11/2022,4/12/2021,Renewable,1
0013a00001Zy9FWAAZ,9/9/2020,7/14/2022,7/29/2021,Renewable,1
0013a00001Zydd5AAB,11/23/2020,11/22/2023,11/23/2020,Renewable,1
0013a00001ZyfekAAB,4/25/2019,4/24/2020,4/25/2019,Renewable,1
0013a00001ZyhwGAAR,2/1/2022,4/30/2025,5/1/2022,Renewable,1
0013a00001ZyiQQAAZ,12/30/2019,12/29/2023,12/30/2020,Renewable,1
0013a00001Zyj1EAAR,6/7/2019,5/23/2024,2/1/2022,Renewable,1
0013a00001ZylkWAAR,5/24/2019,5/23/2023,5/24/2020,Renewable,1
0013a00001ZyreKAAR,11/30/2018,11/29/2023,8/10/2021,Renewable,1
0013a00001ZyrjyAAB,5/5/2020,5/4/2022,5/5/2021,Renewable,1
0013a00001ZyrwnAAB,9/20/2018,9/22/2022,9/23/2019,Renewable,1
0013a00001Zys1OAAR,4/18/2019,4/17/2024,4/18/2021,Renewable,1
0013a00001Zys5QAAR,5/10/2019,5/9/2022,5/10/2021,Renewable,1
0013a00001ZytoEAAR,10/4/2021,4/3/2025,4/4/2022,Renewable,1
0013a00001ZyuaMAAR,4/22/2021,4/21/2024,4/22/2021,Renewable,1
0013a00001ZywHwAAJ,1/18/2016,,1/18/2016,Evergreen,0
0013a00001ZyWJVAA3,8/21/2019,4/18/2022,4/19/2021,Renewable,1
0013a00001ZyWV3AAN,8/20/2020,8/20/2020,8/20/2020,Renewable,1
0013a00001ZywzBAAR,8/13/2019,3/31/2023,4/17/2020,Renewable,1
0013a00001ZyXOrAAN,9/2/2019,9/1/2022,10/2/2019,Renewable,1
0013a00001ZyyqlAAB,2/2/2018,12/13/2025,1/3/2021,Renewable,1
0013a00001Zyz3fAAB,1/20/2020,1/19/2023,1/20/2022,Renewable,1
0013a00001Zz0zdAAB,1/4/2021,4/3/2024,4/4/2021,Renewable,1
0013a00001Zz1JQAAZ,5/10/2019,4/5/2023,8/27/2021,Renewable,1
0013a00001Zz1LTAAZ,5/9/2019,5/8/2022,5/9/2021,Renewable,1
0013a00001Zz4b2AAB,5/22/2019,9/21/2023,9/29/2020,Evergreen,0
0013a00001Zz4RKAAZ,5/17/2019,5/16/2024,10/13/2021,Renewable,1
0013a00001Zz58NAAR,4/1/2019,4/1/2022,4/1/2019,Renewable,1
0013a00001ZzagzAAB,11/15/2021,12/31/2022,1/1/2022,Renewable,1
0013a00001ZzapwAAB,6/3/2019,6/4/2020,6/3/2019,Renewable,1
0013a00001ZzaqLAAR,6/3/2019,,6/3/2019,Evergreen,0
0013a00001ZzaqQAAR,10/15/2017,11/6/2022,11/7/2019,Renewable,1
0013a00001ZzatAAAR,6/3/2019,6/3/2023,6/4/2020,Renewable,1
0013a00001ZzbaoAAB,7/25/2016,1/10/2023,2/2/2022,Renewable,1
0013a00001ZzbbxAAB,6/11/2019,6/11/2022,6/11/2019,Renewable,1
0013a00001Zzbf0AAB,2/10/2016,9/10/2022,2/10/2016,Renewable,1
0013a00001ZzbfAAAR,7/7/2016,12/2/2020,12/3/2019,Renewable,1
0013a00001ZzbfjAAB,8/18/2015,,2/24/2021,Evergreen,0
0013a00001Zzbg8AAB,6/30/2016,6/27/2022,6/30/2016,Renewable,1
0013a00001ZzbgDAAR,12/12/2017,1/1/2024,1/2/2021,Renewable,1
0013a00001ZzbHlAAJ,12/10/2015,3/9/2022,3/10/2021,Renewable,1
0013a00001ZzbR8AAJ,3/31/2020,7/11/2021,7/12/2021,Renewable,1
0013a00001ZzbRNAAZ,10/17/2018,12/16/2024,1/21/2022,Evergreen,0
0013a00001ZzbS1AAJ,3/6/2018,9/9/2022,3/6/2018,Renewable,1
0013a00001ZzbSBAAZ,10/29/2016,,3/14/2021,Evergreen,0
0013a00001ZzbSfAAJ,5/8/2016,2/7/2023,2/8/2020,Renewable,1
0013a00001ZzbsZAAR,11/21/2018,,11/21/2018,Evergreen,0
0013a00001ZzbT4AAJ,7/5/2019,6/4/2023,4/26/2021,Renewable,1
0013a00001ZzbURAAZ,3/12/2017,6/12/2024,6/13/2021,Evergreen,0
0013a00001ZzbUSAAZ,10/24/2017,1/16/2023,12/17/2020,Renewable,1
0013a00001ZzbV0AAJ,8/5/2015,,8/5/2015,Evergreen,0
0013a00001ZzbWrAAJ,8/10/2016,,8/10/2016,Evergreen,0
0013a00001ZzbXaAAJ,12/5/2018,4/4/2024,4/5/2021,Evergreen,0
0013a00001ZzbXuAAJ,1/30/2018,,3/12/2021,Evergreen,0
0013a00001ZzbYsAAJ,4/18/2017,7/31/2023,8/18/2020,Renewable,1
0013a00001Zzc3hAAB,2/11/2016,,12/30/2020,Evergreen,0
0013a00001Zzc3XAAR,1/31/2017,1/28/2024,1/12/2022,Renewable,1
0013a00001Zzc5KAAR,8/16/2017,12/15/2023,12/16/2020,Renewable,1
0013a00001ZzcA2AAJ,8/6/2019,8/5/2022,8/6/2019,Renewable,1
0013a00001ZzcagAAB,11/17/2015,3/16/2024,7/14/2021,Renewable,1
0013a00001ZzcalAAB,3/16/2017,,12/30/2020,Evergreen,0
0013a00001ZzcaqAAB,5/8/2018,,5/8/2018,Evergreen,0
0013a00001ZzcbFAAR,10/31/2018,7/30/2023,7/31/2020,Renewable,1
0013a00001ZzcBoAAJ,11/17/2016,,3/18/2021,Evergreen,0
0013a00001ZzcbPAAR,6/5/2019,,6/5/2019,Evergreen,0
0013a00001Zzcc3AAB,3/29/2019,1/27/2025,1/28/2022,Renewable,1
0013a00001ZzccwAAB,3/27/2019,,3/27/2019,Evergreen,0
0013a00001ZzcdaAAB,4/5/2018,10/24/2023,10/25/2020,Renewable,1
0013a00001ZzcesAAB,6/29/2020,8/21/2023,1/25/2022,Renewable,1
0013a00001Zzck5AAB,12/3/2018,12/3/2022,12/4/2021,Renewable,1
0013a00001ZzcktAAB,11/9/2018,11/9/2019,11/9/2018,Renewable,1
0013a00001ZzckUAAR,5/17/2019,11/7/2019,5/17/2019,Evergreen,0
0013a00001ZzcolAAB,8/30/2016,,8/30/2016,Evergreen,0
0013a00001Zzcp5AAB,6/5/2017,,6/5/2017,Evergreen,0
0013a00001ZzcpKAAR,4/22/2019,4/22/2024,4/23/2021,Renewable,1
0013a00001ZzcrzAAB,8/1/2019,11/16/2022,11/17/2021,Renewable,1
0013a00001Zzcw6AAB,6/14/2019,,6/14/2019,Evergreen,0
0013a00001ZzcWjAAJ,11/10/2017,,11/10/2017,Evergreen,0
0013a00001Zzcx4AAB,1/31/2017,2/25/2021,2/26/2021,Evergreen,0
0013a00001ZzcZOAAZ,9/4/2018,4/21/2023,4/22/2020,Renewable,1
0013a00001ZzcZxAAJ,6/5/2018,6/4/2019,6/5/2018,Renewable,1
0013a00001Zzd2OAAR,8/1/2019,7/31/2022,8/1/2021,Renewable,1
0013a00001Zzd5hAAB,2/6/2018,,2/6/2018,Evergreen,0
0013a00001Zzd7iAAB,5/11/2016,,5/11/2016,Evergreen,0
0013a00001Zzd8MAAR,11/26/2018,10/15/2023,12/6/2021,Renewable,1
0013a00001ZzdKNAAZ,7/21/2016,,3/12/2021,Evergreen,0
0013a00001ZzdlkAAB,6/23/2017,3/22/2023,6/23/2021,Evergreen,0
0013a00001ZzdLpAAJ,7/12/2019,,7/12/2019,Evergreen,0
0013a00001ZzdOoAAJ,6/5/2019,11/4/2022,11/5/2021,Renewable,1
0013a00001ZzdoUAAR,7/31/2018,9/27/2023,9/28/2020,Renewable,1
0013a00001ZzdQfAAJ,5/7/2017,9/8/2022,2/18/2021,Renewable,1
0013a00001ZzdriAAB,5/9/2018,,5/9/2018,Evergreen,0
0013a00001ZzdsvAAB,1/11/2019,1/11/2024,1/12/2021,Renewable,1
0013a00001ZzdwEAAR,9/21/2017,,3/11/2021,Evergreen,0
0013a00001ZzdXWAAZ,6/23/2015,2/22/2024,2/23/2022,Renewable,1
0013a00001ZzdzDAAR,3/10/2017,5/10/2022,5/11/2021,Renewable,1
0013a00001Zze58AAB,6/10/2019,12/8/2022,12/9/2019,Renewable,1
0013a00001Zze8WAAR,1/27/2017,,1/27/2017,Evergreen,0
0013a00001ZzeewAAB,10/11/2018,10/11/2020,10/12/2019,Renewable,1
0013a00001ZzevdAAB,2/28/2019,2/27/2023,2/28/2022,Renewable,1
0013a00001ZzEvoAAF,7/1/2019,4/30/2020,11/1/2020,Renewable,1
0013a00001Zzf8cAAB,4/30/2019,4/30/2022,2/1/2021,Renewable,1
0013a00001ZzfaUAAR,3/16/2020,3/15/2023,3/16/2020,Renewable,1
0013a00001ZzFCBAA3,4/17/2019,9/17/2024,9/18/2021,Renewable,1
0013a00001ZzfdnAAB,3/29/2019,3/29/2022,3/29/2019,Renewable,1
0013a00001ZzfevAAB,6/7/2019,,6/7/2019,Evergreen,0
0013a00001ZzfF9AAJ,6/7/2019,11/17/2023,11/18/2020,Evergreen,0
0013a00001ZzFfTAAV,6/3/2019,4/2/2020,4/3/2020,Renewable,1
0013a00001ZzFhFAAV,6/3/2019,6/2/2022,6/3/2021,Renewable,1
0013a00001ZzFm2AAF,5/30/2019,8/29/2022,11/19/2021,Renewable,1
0013a00001ZzFmWAAV,10/18/2018,,10/18/2018,Evergreen,0
0013a00001ZzfnBAAR,9/3/2021,7/7/2023,9/3/2021,Renewable,1
0013a00001Zzfp7AAB,6/8/2019,3/7/2024,1/17/2022,Renewable,1
0013a00001ZzfYdAAJ,4/20/2018,,4/20/2018,Evergreen,0
0013a00001Zzg1IAAR,6/7/2019,6/7/2022,6/7/2019,Renewable,1
0013a00001Zzg2pAAB,11/23/2018,8/22/2021,8/23/2020,Renewable,1
0013a00001ZzgbOAAR,9/13/2019,9/13/2022,9/13/2019,Renewable,1
0013a00001ZzgC3AAJ,11/9/2018,,11/9/2018,Evergreen,0
0013a00001ZzgE4AAJ,11/8/2018,11/8/2019,11/8/2018,Renewable,1
0013a00001ZzGFgAAN,6/18/2019,12/31/2022,8/12/2021,Renewable,1
0013a00001Zzgk3AAB,6/12/2019,,6/12/2019,Evergreen,0
0013a00001ZzgN7AAJ,2/20/2019,,3/1/2021,Evergreen,0
0013a00001ZzgnvAAB,6/11/2019,6/10/2020,6/11/2019,Renewable,1
0013a00001ZzgQpAAJ,10/31/2018,,10/31/2018,Evergreen,0
0013a00001Zzgt0AAB,12/4/2018,9/3/2025,9/4/2022,Renewable,1
0013a00001ZzgUrAAJ,7/23/2019,,7/23/2019,Evergreen,0
0013a00001ZzgVGAAZ,8/12/2019,8/12/2022,8/12/2019,Renewable,1
0013a00001ZzgVzAAJ,12/13/2018,,12/13/2018,Evergreen,0
0013a00001ZzgwdAAB,7/9/2019,7/9/2021,7/10/2020,Renewable,1
0013a00001ZzgWxAAJ,6/13/2019,6/13/2022,6/13/2019,Renewable,1
0013a00001ZzgyAAAR,2/2/2018,12/9/2020,2/2/2018,Evergreen,0
0013a00001ZzgzSAAR,7/28/2020,7/27/2023,8/17/2021,Renewable,1
0013a00001Zzh6OAAR,5/13/2020,5/12/2024,5/13/2021,Renewable,1
0013a00001ZzH9XAAV,8/1/2021,7/31/2024,8/1/2021,Renewable,1
0013a00001ZzhD0AAJ,1/6/2020,1/5/2024,4/13/2021,Renewable,1
0013a00001ZzheDAAR,2/16/2016,,2/16/2016,Evergreen,0
0013a00001ZzHIOAA3,7/12/2019,7/11/2025,7/12/2023,Renewable,1
0013a00001ZzhjgAAB,9/25/2019,9/24/2022,9/25/2021,Renewable,1
0013a00001ZzhmHAAR,2/22/2019,,2/9/2021,Evergreen,0
0013a00001ZzhnyAAB,8/5/2020,10/4/2022,11/16/2021,Renewable,1
0013a00001Zzho8AAB,7/11/2017,8/12/2020,7/11/2017,Evergreen,0
0013a00001ZzhoDAAR,10/2/2018,,3/17/2021,Evergreen,0
0013a00001ZzhukAAB,6/12/2019,6/12/2023,6/13/2020,Renewable,1
0013a00001ZzhyDAAR,8/20/2019,11/19/2022,8/20/2020,Renewable,1
0013a00001ZzI8JAAV,11/23/2020,11/22/2023,2/10/2022,Renewable,1
0013a00001ZziAiAAJ,2/16/2015,,2/16/2015,Evergreen,0
0013a00001ZzIDxAAN,11/30/2020,11/29/2023,1/30/2021,Renewable,1
0013a00001ZziPfAAJ,6/11/2021,7/10/2024,7/11/2021,Renewable,1
0013a00001Zziq0AAB,11/23/2018,,11/23/2018,Evergreen,0
0013a00001ZziwJAAR,6/12/2019,,1/11/2021,Evergreen,0
0013a00001ZzixCAAR,6/12/2019,4/11/2024,4/12/2021,Renewable,1
0013a00001Zzj14AAB,5/23/2019,,5/23/2019,Evergreen,0
0013a00001Zzj2gAAB,8/26/2019,6/12/2022,6/13/2021,Renewable,1
0013a00001Zzj3FAAR,4/30/2019,4/30/2024,5/1/2021,Renewable,1
0013a00001Zzj3ZAAR,3/12/2019,3/12/2022,3/12/2019,Renewable,1
0013a00001Zzj6OAAR,6/12/2019,6/12/2022,6/12/2019,Renewable,1
0013a00001ZzjD5AAJ,6/13/2019,6/12/2022,6/13/2021,Renewable,1
0013a00001ZzjFaAAJ,6/12/2019,,3/1/2021,Evergreen,0
0013a00001ZzjfrAAB,12/31/2017,2/29/2024,3/1/2022,Evergreen,0
0013a00001ZzjNKAAZ,6/12/2019,,6/12/2019,Evergreen,0
0013a00001ZzjoCAAR,10/1/2018,,10/1/2018,Evergreen,0
0013a00001ZzjP1AAJ,3/10/2020,3/9/2024,3/10/2021,Renewable,1
0013a00001ZzjpoAAB,1/6/2020,9/30/2021,10/1/2021,Renewable,1
0013a00001ZzjptAAB,6/17/2019,,6/17/2019,Evergreen,0
0013a00001ZzjR2AAJ,6/12/2019,11/3/2024,11/4/2021,Evergreen,0
0013a00001ZzjTSAAZ,8/19/2018,9/19/2022,8/19/2018,Renewable,1
0013a00001ZzjVTAAZ,1/12/2018,,1/12/2018,Evergreen,0
0013a00001ZzjWgAAJ,8/16/2018,9/29/2022,9/30/2019,Renewable,1
0013a00001Zzjx0AAB,11/24/2017,,2/28/2021,Evergreen,0
0013a00001ZzJZlAAN,10/23/2015,,10/23/2015,Evergreen,0
0013a00001ZzK0vAAF,5/24/2019,9/20/2022,12/6/2021,Renewable,1
0013a00001Zzk1vAAB,6/13/2019,,6/13/2019,Evergreen,0
0013a00001Zzk5YAAR,10/18/2018,,10/18/2018,Evergreen,0
0013a00001Zzk7AAAR,11/13/2018,8/19/2020,11/13/2020,Renewable,1
0013a00001ZzkAdAAJ,5/14/2019,5/13/2024,5/14/2021,Renewable,1
0013a00001ZzKC6AAN,6/17/2019,8/16/2022,6/17/2019,Renewable,1
0013a00001ZzKeAAAV,10/17/2018,4/20/2023,4/21/2020,Renewable,1
0013a00001Zzkh8AAB,12/21/2017,,3/8/2021,Evergreen,0
0013a00001ZzkMtAAJ,3/31/2016,,3/1/2021,Evergreen,0
0013a00001ZzknSAAR,1/8/2019,,1/8/2019,Evergreen,0
0013a00001ZzkoLAAR,5/3/2021,5/2/2024,5/3/2021,Renewable,1
0013a00001ZzkqlAAB,1/26/2017,,1/26/2017,Evergreen,0
0013a00001ZzktQAAR,7/23/2018,,7/23/2018,Evergreen,0
0013a00001ZzkvMAAR,1/31/2019,,3/15/2021,Evergreen,0
0013a00001ZzkwkAAB,10/4/2018,,3/9/2021,Evergreen,0
0013a00001ZzkwuAAB,8/12/2019,8/11/2022,8/12/2021,Renewable,1
0013a00001ZzkwzAAB,5/22/2019,5/22/2023,5/23/2020,Renewable,1
0013a00001ZzkWZAAZ,6/28/2019,6/27/2024,6/28/2021,Renewable,1
0013a00001Zzl3gAAB,11/6/2019,11/5/2022,11/6/2019,Renewable,1
0013a00001Zzl8vAAB,11/29/2018,9/25/2020,9/26/2019,Renewable,1
0013a00001Zzl9FAAR,3/14/2017,,3/14/2017,Evergreen,0
0013a00001Zzl9yAAB,6/28/2019,3/27/2023,5/28/2021,Renewable,1
0013a00001ZzlEeAAJ,4/6/2016,,4/6/2016,Evergreen,0
0013a00001ZzlEPAAZ,7/17/2014,10/21/2022,9/27/2019,Renewable,1
0013a00001ZzlFDAAZ,1/12/2015,,2/24/2021,Evergreen,0
0013a00001ZzlFrAAJ,3/1/2016,8/7/2022,12/3/2020,Renewable,1
0013a00001ZzlFXAAZ,1/26/2016,10/25/2023,7/26/2020,Renewable,1
0013a00001ZzlgfAAB,10/22/2018,,10/22/2018,Evergreen,0
0013a00001ZzlGfAAJ,10/18/2016,1/18/2022,10/18/2016,Evergreen,0
0013a00001ZzlGLAAZ,6/10/2016,,1/25/2021,Evergreen,0
0013a00001ZzlGuAAJ,7/27/2016,5/26/2020,7/27/2016,Evergreen,0
0013a00001ZzlGzAAJ,6/11/2020,7/14/2024,10/15/2021,Renewable,1
0013a00001ZzlH4AAJ,8/30/2016,11/22/2022,11/23/2019,Renewable,1
0013a00001ZzlHJAAZ,11/9/2016,,3/17/2021,Evergreen,0
0013a00001ZzlHOAAZ,9/29/2016,5/28/2022,9/29/2016,Renewable,1
0013a00001ZzlHsAAJ,12/1/2016,,12/1/2016,Evergreen,0
0013a00001ZzlHTAAZ,5/22/2015,,12/15/2020,Evergreen,0
0013a00001ZzlI7AAJ,11/18/2016,5/14/2022,5/15/2021,Renewable,1
0013a00001ZzlIMAAZ,6/30/2015,,6/30/2015,Evergreen,0
0013a00001ZzlIqAAJ,2/20/2017,7/19/2022,2/26/2021,Renewable,1
0013a00001ZzlIRAAZ,6/30/2015,6/26/2021,2/12/2020,Renewable,1
0013a00001ZzlJAAAZ,3/16/2017,8/15/2023,12/1/2020,Renewable,1
0013a00001ZzlJFAAZ,3/17/2017,10/16/2023,10/17/2020,Renewable,1
0013a00001ZzlJKAAZ,4/7/2017,,4/7/2017,Evergreen,0
0013a00001ZzlK3AAJ,6/14/2017,10/13/2024,1/5/2022,Evergreen,0
0013a00001ZzlKcAAJ,7/21/2017,,7/21/2017,Evergreen,0
0013a00001ZzlKhAAJ,7/27/2017,5/26/2023,6/4/2021,Renewable,1
0013a00001ZzlKNAAZ,7/4/2017,,7/4/2017,Evergreen,0
0013a00001ZzlKwAAJ,8/24/2017,,8/24/2017,Evergreen,0
0013a00001ZzlmJAAR,9/16/2019,9/15/2022,9/16/2019,Renewable,1
0013a00001ZzlMJAAZ,9/25/2017,,2/16/2021,Evergreen,0
0013a00001ZzlMOAAZ,9/26/2017,,9/26/2017,Evergreen,0
0013a00001ZzlmsAAB,8/5/2020,8/4/2022,8/5/2020,Renewable,1
0013a00001ZzlNbAAJ,10/22/2015,,10/22/2015,Evergreen,0
0013a00001ZzlNHAAZ,11/3/2017,9/30/2024,10/1/2021,Renewable,1
0013a00001ZzlNRAAZ,10/6/2015,6/3/2024,6/4/2021,Renewable,1
0013a00001ZzlOyAAJ,1/8/2018,,1/8/2018,Evergreen,0
0013a00001ZzlP8AAJ,1/8/2018,,1/8/2018,Evergreen,0
0013a00001ZzlPIAAZ,1/8/2018,,1/8/2018,Evergreen,0
0013a00001ZzlQQAAZ,1/31/2018,,1/31/2018,Evergreen,0
0013a00001ZzLrHAAV,12/28/2017,8/31/2024,9/28/2021,Renewable,1
0013a00001ZzlWuAAJ,7/16/2019,,7/16/2019,Evergreen,0
0013a00001ZzlZTAAZ,4/26/2016,,2/1/2021,Evergreen,0
0013a00001ZzMloAAF,6/1/2016,12/31/2023,5/1/2020,Renewable,1
0013a00001ZzMuFAAV,12/13/2017,8/12/2022,12/13/2017,Renewable,1
0013a00001ZzmwbAAB,9/20/2017,3/20/2022,3/21/2021,Evergreen,0
0013a00001ZzmxjAAB,11/10/2018,2/8/2022,2/9/2020,Renewable,1
0013a00001ZzmxoAAB,5/22/2018,11/22/2024,11/23/2021,Renewable,1
0013a00001ZzN5aAAF,11/13/2018,,11/13/2018,Evergreen,0
0013a00001ZzN5bAAF,7/2/2016,,7/2/2016,Evergreen,0
0013a00001ZzN5dAAF,2/15/2018,,2/15/2018,Evergreen,0
0013a00001ZzN5tAAF,10/31/2018,9/27/2022,9/28/2021,Renewable,1
0013a00001ZzN5vAAF,12/5/2017,,12/5/2017,Evergreen,0
0013a00001ZzN5xAAF,8/28/2020,8/27/2023,8/28/2020,Renewable,1
0013a00001ZzN5XAAV,11/29/2019,11/28/2023,1/21/2021,Renewable,1
0013a00001ZzN5YAAV,3/16/2018,1/15/2023,9/16/2020,Renewable,1
0013a00001ZzN61AAF,6/16/2015,,6/16/2015,Evergreen,0
0013a00001ZzN6HAAV,1/24/2018,,1/24/2018,Evergreen,0
0013a00001ZzN6LAAV,8/19/2015,,8/19/2015,Evergreen,0
0013a00001ZzN6PAAV,11/18/2016,,11/18/2016,Evergreen,0
0013a00001ZzN6tAAF,6/4/2017,,6/4/2017,Evergreen,0
0013a00001ZzN6uAAF,6/20/2018,,1/7/2021,Evergreen,0
